delivery_id,van_id,depot_id,zone_id,dispatch_time,delivered_time,promised_window_start,promised_window_end,distance_km,package_weight_kg,shipment_volume,transport_cost,first_attempt_success,delivery_outcome
D00000,VAN-52,DEPOT-C,North Zone 1,2026-06-27 14:26:00,2026-06-27 14:44:12.723074424,2026-06-27 09:00:00,2026-06-27 16:00:00,7.88,3.67,8,79.03,True,DELIVERED
D00001,VAN-22,DEPOT-C,North Zone 2,2026-06-17 08:45:00,2026-06-17 09:12:59.532297754,2026-06-17 09:00:00,2026-06-17 10:00:00,7.3,2.95,4,76.25,True,DELIVERED
D00002,VAN-50,DEPOT-A,South Zone 1,2026-05-26 17:22:00,2026-05-26 17:39:08.539931894,2026-05-26 09:00:00,2026-05-26 19:00:00,6.54,3.05,10,76.64,True,DELIVERED
D00003,VAN-34,DEPOT-B,East Zone 1,2026-05-04 16:47:00,2026-05-04 17:03:44.916654513,2026-05-04 09:00:00,2026-05-04 18:00:00,9.58,2.57,6,78.27,True,DELIVERED
D00004,VAN-31,DEPOT-C,North Zone 1,2026-06-12 16:18:00,2026-06-12 16:25:53.525600886,2026-06-12 09:00:00,2026-06-12 18:00:00,5.13,6.08,5,76.49,True,DELIVERED
D00005,VAN-42,DEPOT-B,West Zone 1,2026-06-19 11:24:00,2026-06-19 12:16:00.189708397,2026-06-19 09:00:00,2026-06-19 13:00:00,15.14,2.48,7,97.33,True,DELIVERED
D00006,VAN-43,DEPOT-A,South Zone 2,2026-05-29 18:05:00,2026-05-29 18:27:25.975247941,2026-05-29 09:00:00,2026-05-29 20:00:00,8.69,4.48,7,78.84,True,DELIVERED
D00007,VAN-40,DEPOT-A,East Zone 1,2026-05-25 16:34:00,2026-05-25 16:43:34.300237753,2026-05-25 09:00:00,2026-05-25 18:00:00,6.51,3.52,7,80.34,True,DELIVERED
D00008,VAN-27,DEPOT-C,East Zone 1,2026-05-11 09:35:00,2026-05-11 09:46:22.852482126,2026-05-11 09:00:00,2026-05-11 11:00:00,6.4,2.42,6,81.83,True,DELIVERED
D00009,VAN-40,DEPOT-C,North Zone 1,2026-06-13 13:28:00,2026-06-13 13:36:59.034252639,2026-06-13 09:00:00,2026-06-13 15:00:00,6.67,2.37,4,64.4,True,DELIVERED
D00010,VAN-58,DEPOT-A,North Zone 1,2026-05-23 09:39:00,2026-05-23 09:58:38.258201002,2026-05-23 09:00:00,2026-05-23 11:00:00,10.42,6.57,4,85.24,True,DELIVERED
D00011,VAN-25,DEPOT-B,North Zone 2,2026-07-09 14:17:00,2026-07-09 14:41:19.507671841,2026-07-09 09:00:00,2026-07-09 16:00:00,8.61,1.91,9,77.31,True,DELIVERED
D00012,VAN-20,DEPOT-C,West Zone 1,2026-05-10 15:44:00,2026-05-10 16:35:30.001018146,2026-05-10 09:00:00,2026-05-10 17:00:00,14.46,0.9,6,87.52,True,DELIVERED
D00013,VAN-35,DEPOT-C,South Zone 1,2026-06-08 12:08:00,2026-06-08 12:23:38.886244977,2026-06-08 09:00:00,2026-06-08 14:00:00,5.84,3.57,8,70.32,True,DELIVERED
D00014,VAN-01,DEPOT-C,North Zone 1,2026-05-31 18:18:00,2026-05-31 18:37:37.049955208,2026-05-31 09:00:00,2026-05-31 20:00:00,8.51,8.12,5,87.37,True,DELIVERED
D00015,VAN-58,DEPOT-C,North Zone 1,2026-06-14 09:55:00,2026-06-14 09:59:59.368479374,2026-06-14 09:00:00,2026-06-14 11:00:00,5.28,2.03,9,60.29,True,DELIVERED
D00016,VAN-36,DEPOT-A,North Zone 2,2026-06-04 13:14:00,2026-06-04 13:26:03.553664948,2026-06-04 09:00:00,2026-06-04 15:00:00,5.78,10.68,5,81.26,True,DELIVERED
D00017,VAN-33,DEPOT-A,North Zone 1,2026-05-23 13:09:00,2026-05-23 13:13:00.000000000,2026-05-23 09:00:00,2026-05-23 15:00:00,2.56,2.69,6,58.05,True,DELIVERED
D00018,VAN-51,DEPOT-C,South Zone 1,2026-05-16 17:14:00,2026-05-16 17:35:18.739830038,2026-05-16 09:00:00,2026-05-16 19:00:00,10.23,4.43,5,88.6,True,DELIVERED
D00019,VAN-10,DEPOT-B,East Zone 1,2026-07-06 09:58:00,2026-07-06 10:15:08.003000697,2026-07-06 09:00:00,2026-07-06 11:00:00,6.82,3.47,8,70.84,True,DELIVERED
D00020,VAN-36,DEPOT-C,South Zone 2,2026-05-20 11:22:00,2026-05-20 12:15:51.273537634,2026-05-20 09:00:00,2026-05-20 13:00:00,14.16,3.18,12,101.97,True,DELIVERED
D00021,VAN-01,DEPOT-B,South Zone 2,2026-07-03 18:07:00,2026-07-03 18:55:22.522842759,2026-07-03 09:00:00,2026-07-03 20:00:00,14.93,10.59,11,113.7,True,DELIVERED
D00022,VAN-56,DEPOT-C,South Zone 1,2026-06-05 15:31:00,2026-06-05 15:40:31.657666146,2026-06-05 09:00:00,2026-06-05 17:00:00,5.18,9.49,4,80.87,True,DELIVERED
D00023,VAN-57,DEPOT-C,North Zone 2,2026-06-19 15:20:00,2026-06-19 15:44:36.037956751,2026-06-19 09:00:00,2026-06-19 17:00:00,9.58,4.08,6,91.9,True,DELIVERED
D00024,VAN-26,DEPOT-A,South Zone 1,2026-06-27 14:28:00,2026-06-27 14:40:41.777609810,2026-06-27 09:00:00,2026-06-27 16:00:00,5.03,6.07,7,79.88,True,DELIVERED
D00025,VAN-15,DEPOT-A,West Zone 1,2026-06-05 10:26:00,2026-06-05 11:22:35.578405271,2026-06-05 09:00:00,2026-06-05 12:00:00,15.1,4.1,9,102.07,False,REDELIVERY_REQUIRED
D00026,VAN-58,DEPOT-A,South Zone 1,2026-05-14 17:46:00,2026-05-14 17:56:46.133570961,2026-05-14 09:00:00,2026-05-14 19:00:00,7.05,4.87,2,64.37,True,DELIVERED
D00027,VAN-33,DEPOT-B,North Zone 2,2026-07-02 09:03:00,2026-07-02 09:32:47.541461381,2026-07-02 09:00:00,2026-07-02 11:00:00,10.87,3.87,4,86.17,True,DELIVERED
