delivery_id,date,zone,distance_km,delivery_time_min,package_weight_kg,shipment_volume,transport_cost,first_attempt_success
D00000,2026-06-27,North Zone 1,3.4,9.2,6.4,11,69.61,True
D00001,2026-06-30,West Zone 1,13.88,62.9,1.87,6,95.34,True
D00002,2026-07-10,South Zone 1,3.72,4.0,5.19,7,69.5,True
D00003,2026-06-29,South Zone 1,5.29,9.9,6.13,2,74.7,True
D00004,2026-06-22,South Zone 1,4.2,5.3,1.94,9,59.84,True
D00005,2026-05-19,West Zone 1,13.52,56.9,1.18,9,88.22,False
D00006,2026-06-23,East Zone 1,9.22,22.6,3.37,7,72.62,True
D00007,2026-07-06,South Zone 1,2.74,4.0,7.94,7,70.65,True
D00008,2026-05-16,South Zone 2,8.38,24.9,2.14,6,83.85,True
D00009,2026-05-14,South Zone 2,15.66,50.1,1.94,6,100.48,False
D00010,2026-06-07,North Zone 2,16.28,45.1,1.38,5,105.98,True
D00011,2026-05-13,South Zone 2,9.41,30.0,2.23,7,74.78,True
D00012,2026-07-01,North Zone 2,11.1,31.5,6.36,5,84.61,True
D00013,2026-07-05,North Zone 1,9.95,21.1,3.04,7,74.95,True
D00014,2026-05-12,North Zone 1,10.31,24.2,2.44,8,90.82,True
D00015,2026-06-20,North Zone 1,0.87,4.0,1.6,6,53.6,True
D00016,2026-05-25,West Zone 1,16.51,69.4,8.12,5,112.97,True
D00017,2026-07-10,North Zone 1,10.69,16.9,2.65,3,79.6,True
D00018,2026-05-20,South Zone 1,4.59,4.7,2.14,9,56.53,True
D00019,2026-05-14,South Zone 1,9.32,12.4,2.74,4,78.33,True
D00020,2026-05-16,North Zone 2,7.61,20.0,6.69,6,98.29,True
D00021,2026-06-12,South Zone 2,12.96,36.4,1.21,8,88.97,True
D00022,2026-05-13,East Zone 1,7.37,20.4,8.76,6,94.71,True
D00023,2026-05-29,South Zone 2,11.18,33.7,1.29,12,76.02,True
D00024,2026-07-03,South Zone 2,12.18,41.7,5.67,10,86.87,True
D00025,2026-06-16,South Zone 2,10.37,44.7,5.17,8,96.33,True
D00026,2026-06-02,East Zone 1,6.57,20.7,6.92,6,84.49,True
D00027,2026-05-30,East Zone 1,11.7,20.6,1.63,9,95.01,True
D00028,2026-05-04,South Zone 2,15.27,46.0,1.03,9,99.95,True
D00029,2026-06-19,North Zone 1,6.35,15.1,3.96,7,71.73,False
D00030,2026-06-15,East Zone 1,4.76,5.3,0.21,8,60.02,True
D00031,2026-06-17,South Zone 2,9.91,36.2,0.79,7,77.33,True
D00032,2026-05-16,South Zone 1,3.49,4.0,1.26,11,57.65,True
D00033,2026-06-06,West Zone 1,19.19,67.2,3.76,8,110.44,True
D00034,2026-06-06,South Zone 1,7.76,7.5,4.31,10,78.16,True
D00035,2026-06-08,West Zone 1,13.57,52.1,4.57,5,94.95,True
D00036,2026-05-16,South Zone 1,7.34,4.0,2.54,6,69.79,True
D00037,2026-06-27,South Zone 1,3.6,7.1,0.71,3,59.87,True
D00038,2026-05-15,East Zone 1,10.24,27.9,1.4,5,81.1,True
D00039,2026-06-05,South Zone 1,4.1,4.0,2.3,6,52.13,True
D00040,2026-06-17,West Zone 1,13.55,61.7,2.94,12,88.32,True
D00041,2026-07-07,West Zone 1,14.13,61.7,6.24,5,101.03,True
D00042,2026-06-22,North Zone 2,9.47,20.6,8.11,14,100.85,True
D00043,2026-05-28,South Zone 2,7.87,22.4,2.35,11,64.31,False
D00044,2026-05-11,South Zone 1,5.59,4.0,4.62,7,72.82,True
D00045,2026-05-06,South Zone 2,10.67,39.9,8.23,9,97.43,True
D00046,2026-06-23,South Zone 1,6.75,21.2,3.8,9,83.44,True
D00047,2026-05-18,South Zone 1,5.8,6.5,3.81,10,55.03,True
D00048,2026-06-18,South Zone 2,10.22,30.5,5.99,13,93.22,True
D00049,2026-06-18,South Zone 1,3.94,8.2,2.74,4,56.75,True
D00050,2026-06-09,North Zone 2,11.78,36.0,1.32,5,88.96,False
D00051,2026-05-11,North Zone 2,6.41,17.8,2.82,7,61.61,True
D00052,2026-05-19,South Zone 1,5.71,14.1,1.17,4,67.04,False
D00053,2026-05-17,West Zone 1,16.02,56.0,0.25,4,102.28,True
D00054,2026-05-15,South Zone 1,4.07,4.0,3.36,10,68.52,True
D00055,2026-05-06,West Zone 1,9.54,44.5,2.09,7,72.74,True
D00056,2026-06-08,East Zone 1,4.74,11.0,3.13,8,58.31,True
D00057,2026-06-19,South Zone 1,0.53,4.0,6.62,12,57.41,True
D00058,2026-06-09,South Zone 1,3.74,4.7,4.2,8,51.84,True
D00059,2026-07-04,South Zone 2,12.08,35.0,7.55,8,108.27,False
D00060,2026-07-11,North Zone 2,9.09,28.7,3.1,8,79.85,True
D00061,2026-05-13,East Zone 1,8.84,25.4,1.39,7,75.51,False
D00062,2026-06-06,North Zone 1,7.81,14.6,0.45,10,78.27,True
D00063,2026-05-10,South Zone 1,0.74,4.0,2.09,7,53.47,True
D00064,2026-06-27,North Zone 1,9.97,15.8,11.98,5,101.81,True
D00065,2026-06-22,West Zone 1,16.89,74.5,4.9,9,106.48,True
D00066,2026-05-12,South Zone 1,6.12,16.5,9.65,4,87.16,True
D00067,2026-05-26,North Zone 1,7.23,22.2,4.14,9,83.8,True
D00068,2026-06-16,South Zone 2,12.0,47.9,9.49,3,92.28,True
D00069,2026-05-08,West Zone 1,16.31,59.0,2.66,10,103.35,True
D00070,2026-07-02,West Zone 1,15.58,59.2,4.26,11,103.31,True
D00071,2026-06-18,North Zone 2,7.18,18.8,5.25,5,70.01,True
D00072,2026-06-27,North Zone 1,1.86,4.0,1.33,6,57.05,True
D00073,2026-07-09,East Zone 1,2.55,6.3,3.32,6,65.05,True
D00074,2026-07-08,North Zone 2,10.69,30.0,6.53,13,91.88,True
D00075,2026-05-22,North Zone 2,10.11,24.4,8.67,3,86.54,True
D00076,2026-07-01,North Zone 1,5.81,13.4,1.2,8,64.84,True
D00077,2026-05-22,North Zone 2,9.28,21.3,0.87,10,79.22,True
D00078,2026-05-26,North Zone 2,11.83,39.6,5.13,11,92.55,True
D00079,2026-05-14,North Zone 2,9.88,24.2,4.64,6,83.5,True
D00080,2026-06-30,North Zone 2,8.34,23.4,8.32,8,83.42,True
D00081,2026-05-12,West Zone 1,15.18,68.1,6.72,10,98.55,True
D00082,2026-05-24,West Zone 1,10.23,36.0,1.57,3,73.67,True
D00083,2026-05-22,South Zone 2,9.51,28.6,0.67,7,76.57,True
D00084,2026-07-05,South Zone 2,12.91,44.9,2.98,6,86.13,True
D00085,2026-05-10,West Zone 1,10.69,39.8,4.54,5,89.18,True
D00086,2026-05-18,South Zone 1,4.54,4.9,0.2,7,64.57,False
D00087,2026-06-01,North Zone 2,10.82,27.8,5.0,9,92.05,True
D00088,2026-05-11,West Zone 1,17.19,66.0,9.84,10,113.38,True
D00089,2026-05-28,West Zone 1,13.9,64.8,2.24,10,102.21,True
D00090,2026-07-07,North Zone 1,4.44,10.8,2.01,6,63.2,True
D00091,2026-05-27,West Zone 1,13.94,72.5,5.95,11,85.04,True
D00092,2026-06-06,South Zone 2,11.37,23.5,1.37,7,94.87,False
D00093,2026-06-09,West Zone 1,10.29,51.9,1.73,5,71.5,True
D00094,2026-05-17,South Zone 2,7.31,19.7,6.15,9,76.28,True
D00095,2026-07-10,South Zone 1,5.82,5.9,6.3,5,86.44,True
D00096,2026-06-10,East Zone 1,6.73,16.4,2.72,5,64.68,True
D00097,2026-07-03,East Zone 1,10.4,15.7,5.97,11,78.5,True
D00098,2026-05-10,North Zone 1,3.28,8.1,1.48,4,69.35,True
D00099,2026-06-09,South Zone 1,6.44,6.8,7.41,3,83.12,True
D00100,2026-06-10,North Zone 2,8.98,30.5,2.36,7,78.15,True
D00101,2026-06-10,North Zone 1,6.98,22.6,3.82,6,69.0,True
D00102,2026-06-09,South Zone 2,11.79,43.8,7.15,5,109.55,True
D00103,2026-07-05,South Zone 1,3.52,4.5,4.83,12,65.19,True
D00104,2026-06-05,South Zone 1,1.43,4.0,3.62,7,66.34,True
D00105,2026-06-10,North Zone 2,9.29,30.7,5.77,5,84.97,True
D00106,2026-06-22,East Zone 1,7.12,12.4,4.24,7,78.39,True
D00107,2026-06-25,West Zone 1,18.99,79.5,3.51,13,118.57,False
D00108,2026-05-05,East Zone 1,2.66,9.5,4.98,10,63.91,True
D00109,2026-06-15,East Zone 1,7.41,10.3,1.66,3,68.2,True
D00110,2026-07-01,North Zone 1,4.43,7.9,5.75,7,62.54,True
D00111,2026-06-03,North Zone 1,2.03,5.0,2.8,4,62.71,True
D00112,2026-05-06,West Zone 1,16.97,77.9,4.97,6,99.94,True
D00113,2026-06-17,South Zone 2,10.18,41.2,4.64,7,84.05,True
D00114,2026-05-24,North Zone 2,9.49,24.5,2.44,6,69.09,True
D00115,2026-05-06,North Zone 2,10.44,33.2,5.71,7,83.72,True
D00116,2026-05-12,South Zone 2,12.71,53.4,0.54,8,86.95,True
D00117,2026-06-13,South Zone 2,11.55,31.1,2.19,14,87.25,True
D00118,2026-05-23,North Zone 1,4.25,7.4,0.68,7,50.82,True
D00119,2026-06-12,North Zone 2,12.07,27.3,5.27,4,83.69,True
D00120,2026-06-25,North Zone 2,9.45,21.9,4.51,3,76.58,True
D00121,2026-06-17,North Zone 1,0.5,4.0,11.06,9,63.0,True
D00122,2026-05-15,East Zone 1,4.65,13.9,0.87,7,60.91,True
D00123,2026-06-09,South Zone 1,1.4,4.0,6.3,5,63.84,True
D00124,2026-06-21,West Zone 1,12.06,44.7,4.21,8,104.79,True
D00125,2026-05-13,West Zone 1,11.06,48.1,1.96,5,100.77,True
D00126,2026-07-01,West Zone 1,12.87,59.8,0.98,8,73.34,True
D00127,2026-06-07,South Zone 1,8.03,17.6,0.68,3,73.57,True
D00128,2026-06-24,South Zone 2,11.19,42.3,2.97,7,88.99,True
D00129,2026-06-25,North Zone 1,8.4,10.6,0.39,10,76.46,True
D00130,2026-05-25,North Zone 2,11.15,37.3,1.54,9,78.06,True
D00131,2026-05-12,South Zone 2,14.2,48.8,0.97,5,93.56,True
D00132,2026-05-08,East Zone 1,9.19,16.4,2.92,5,85.8,True
D00133,2026-05-04,North Zone 1,5.48,14.5,2.46,9,57.21,False
D00134,2026-05-28,North Zone 1,4.86,11.0,0.37,8,59.62,True
D00135,2026-06-04,South Zone 2,13.13,44.2,1.26,6,90.17,True
D00136,2026-07-06,North Zone 2,7.05,21.7,4.97,7,82.67,True
D00137,2026-06-06,South Zone 2,11.86,30.1,2.04,7,96.26,True
D00138,2026-07-02,North Zone 2,7.31,17.6,1.01,6,64.97,True
D00139,2026-06-25,East Zone 1,8.61,13.6,1.91,8,74.59,True
D00140,2026-05-07,North Zone 1,6.6,14.1,2.34,5,74.94,True
D00141,2026-05-04,South Zone 1,8.94,17.3,3.79,5,75.83,True
